match_id,season,date,ok,reason,n_nodes,n_edges,total_passes,first_sub_minute,first_barca_sub_minute,window_passes_all,dropped_non_starter,starter_source
68317,2005/2006,2005-10-01,True,,11,81,253,61,61.0,355,0,lineups
68318,2005/2006,2005-10-22,True,,11,56,125,20,20.0,157,0,lineups
69164,2005/2006,2005-10-26,True,,11,79,225,45,45.0,314,0,lineups
68339,2005/2006,2005-11-06,True,,11,79,334,62,68.0,450,0,lineups
68319,2005/2006,2005-11-19,True,,11,74,195,57,69.0,295,0,lineups
68354,2005/2006,2005-11-27,True,,11,82,345,59,66.0,434,0,lineups
68320,2005/2006,2005-12-04,True,,11,71,227,66,71.0,333,0,lineups
68321,2005/2006,2005-12-11,True,,11,82,342,62,62.0,438,0,lineups
68322,2005/2006,2005-12-17,True,,11,75,179,56,64.0,301,0,lineups
68323,2005/2006,2005-12-20,True,,11,78,311,64,66.0,432,0,lineups
68348,2005/2006,2006-01-07,True,,11,67,229,56,57.0,330,0,lineups
68342,2005/2006,2006-01-15,True,,11,79,256,53,76.0,362,0,lineups
68324,2005/2006,2006-01-22,True,,11,78,275,56,72.0,379,0,lineups
68325,2005/2006,2006-01-29,True,,11,80,266,53,53.0,364,0,lineups
68350,2005/2006,2006-02-05,True,,11,68,153,45,45.0,245,0,lineups
69172,2005/2006,2006-02-18,True,,11,61,167,45,64.0,241,0,lineups
68351,2005/2006,2006-02-25,True,,11,77,303,54,54.0,398,0,lineups
68326,2006/2007,2006-08-28,True,,11,83,365,56,56.0,463,0,lineups
68327,2006/2007,2006-09-09,True,,11,83,348,55,61.0,433,0,lineups
68340,2006/2007,2006-09-17,True,,11,84,410,56,62.0,493,0,lineups
68328,2006/2007,2006-09-24,True,,11,75,296,45,45.0,368,0,lineups
68347,2006/2007,2006-09-30,True,,11,43,74,21,30.0,106,0,lineups
68329,2006/2007,2006-10-15,True,,11,66,156,29,29.0,196,0,lineups
68330,2006/2007,2006-10-22,True,,11,77,288,50,50.0,353,0,lineups
69174,2006/2007,2006-11-04,True,,11,77,254,45,63.0,325,0,lineups
68331,2006/2007,2006-11-12,True,,11,56,126,22,22.0,160,0,lineups
69154,2006/2007,2007-02-11,True,,11,80,335,60,60.0,420,0,lineups
68332,2006/2007,2007-02-18,True,,11,86,387,55,55.0,483,0,lineups
68333,2006/2007,2007-02-25,True,,11,76,280,45,66.0,365,0,lineups
68334,2006/2007,2007-03-03,True,,11,62,186,35,68.0,234,0,lineups
68335,2006/2007,2007-03-10,True,,11,75,235,45,45.0,304,0,lineups
68341,2006/2007,2007-03-17,True,,11,81,410,45,67.0,466,0,lineups
69175,2006/2007,2007-03-31,True,,11,86,351,60,74.0,437,0,lineups
69179,2006/2007,2007-04-07,True,,11,72,187,45,45.0,262,0,lineups
69159,2006/2007,2007-04-15,True,,11,83,330,58,58.0,426,0,lineups
69155,2006/2007,2007-04-22,True,,11,80,335,62,73.0,422,0,lineups
69156,2006/2007,2007-04-29,True,,11,78,286,58,61.0,389,0,lineups
69160,2006/2007,2007-05-05,True,,11,77,250,59,85.0,356,0,lineups
69162,2006/2007,2007-05-13,True,,11,73,268,45,45.0,321,0,lineups
69176,2006/2007,2007-05-20,True,,11,66,159,40,67.0,222,0,lineups
69157,2006/2007,2007-05-26,True,,11,74,208,59,61.0,297,0,lineups
69165,2006/2007,2007-06-09,True,,11,68,191,41,45.0,263,0,lineups
68336,2006/2007,2007-06-17,True,,11,77,407,56,71.0,492,0,lineups
69180,2007/2008,2007-08-26,True,,11,87,368,45,61.0,431,0,lineups
69169,2007/2008,2007-09-02,True,,11,75,355,45,61.0,409,0,lineups
69148,2007/2008,2007-09-22,True,,11,75,232,45,60.0,316,0,lineups
69151,2007/2008,2007-09-29,True,,11,78,242,45,45.0,300,0,lineups
69144,2007/2008,2007-10-07,True,,11,68,192,45,80.0,261,0,lineups
68364,2007/2008,2007-10-20,True,,11,66,212,45,45.0,275,0,lineups
69158,2007/2008,2007-10-28,True,,11,68,221,45,45.0,290,0,lineups
68363,2007/2008,2007-11-01,True,,11,81,324,60,60.0,428,0,lineups
69166,2007/2008,2007-11-04,True,,11,78,355,61,75.0,456,0,lineups
69178,2007/2008,2007-11-10,True,,11,74,207,45,45.0,279,0,lineups
69184,2007/2008,2007-11-24,True,,11,71,285,54,54.0,377,0,lineups
68356,2007/2008,2007-12-01,True,,11,87,245,63,63.0,348,0,lineups
69170,2007/2008,2007-12-09,True,,11,74,286,45,45.0,357,0,lineups
69145,2007/2008,2007-12-15,True,,11,83,249,41,44.0,313,0,lineups
69173,2007/2008,2008-01-20,True,,11,74,267,45,58.0,340,0,lineups
69181,2007/2008,2008-01-27,True,,11,72,257,45,62.0,323,0,lineups
69187,2007/2008,2008-02-03,True,,11,73,226,45,62.0,297,0,lineups
69146,2007/2008,2008-02-09,True,,11,69,202,45,45.0,263,0,lineups
69182,2007/2008,2008-02-16,True,,11,85,298,57,57.0,392,0,lineups
68360,2007/2008,2008-02-24,True,,11,75,175,23,66.0,213,0,lineups
68365,2007/2008,2008-03-01,True,,11,77,349,56,56.0,446,0,lineups
68358,2007/2008,2008-04-12,True,,11,69,196,45,64.0,284,0,lineups
68359,2007/2008,2008-04-19,True,,11,77,259,45,45.0,321,0,lineups
69141,2007/2008,2008-05-04,True,,11,77,255,45,65.0,319,0,lineups
68361,2007/2008,2008-05-07,True,,11,52,104,23,23.0,139,0,lineups
68366,2007/2008,2008-05-11,True,,11,76,215,45,45.0,267,0,lineups
