model,feature_set,cv,acc_mean,acc_std,f1_mean,f1_std
Logistic Regression,combined,stratified-random,0.24374533233756535,0.011903911971094153,0.21462198326076107,0.01017167827432571
Random Forest,combined,stratified-random,0.3578043315907394,0.030915484035576514,0.22866959429413858,0.04779257825092595
XGBoost,combined,stratified-random,0.29785287528005966,0.01371366531398312,0.2250754672236742,0.009741036486517229
Logistic Regression,combined,season-grouped,0.18688418247058647,0.05674636267314818,0.1037828105140987,0.04485526318960161
Random Forest,combined,season-grouped,0.24984171692347662,0.09011315204712375,0.1133480403315098,0.03791833772297035
XGBoost,combined,season-grouped,0.25569481095611546,0.06914602646550509,0.11961068331541407,0.04412192201448907
Logistic Regression,centrality-only,,0.20507841672890215,0.013543030915605669,,
Random Forest,centrality-only,,0.32115384615384623,0.02244817803314656,,
XGBoost,centrality-only,,0.2960231516056758,0.02105069184384675,,
Logistic Regression,motifs-only,,0.17225541448842416,0.05033623790258503,,
Random Forest,motifs-only,,0.24184092606422705,0.03340082700503642,,
XGBoost,motifs-only,,0.23026512322628828,0.042262268417121815,,
Logistic Regression,combined,,0.24374533233756535,0.011903911971094153,,
Random Forest,combined,,0.3578043315907394,0.030915484035576514,,
XGBoost,combined,,0.29785287528005966,0.01371366531398312,,
Majority baseline,n/a,,0.26305609284332687,0.0,0.052065250271357146,0.0005063564149083614
