season,n,n_edges_mean,n_edges_std,density_mean,density_std,total_passes_mean,total_passes_std,weighted_clustering_mean,weighted_clustering_std,aspl_weighted_mean,aspl_weighted_std,aspl_unweighted_mean,aspl_unweighted_std,algebraic_connectivity_mean,algebraic_connectivity_std,spectral_radius_mean,spectral_radius_std
ALL,517,78.52030947775629,11.16985116721957,0.7138209952523299,0.1015441015201779,314.2321083172147,110.58172595119338,0.18063429322438354,0.039930287241960065,0.3999295681926356,0.21504438471559903,1.295900633860015,0.13445631396851646,16.211347307030138,7.889249334172886,32.92066438746578,11.825855984738284
2005/2006,17,74.52941176470588,7.550808293312242,0.6775401069518716,0.06864371175738403,246.1764705882353,67.70176815833325,0.16162407771563192,0.036584882935121577,0.4736955460708657,0.1354838253513918,1.3304812834224597,0.08250602134741718,11.786874922218898,3.9533071903213,25.871625919608405,7.595717210760788
2006/2007,26,74.53846153846153,9.798901037282779,0.6776223776223774,0.08908091852075255,273.9230769230769,93.10592809350996,0.17508086208598156,0.031159456347429525,0.4409292573926874,0.1953637315087637,1.3363636363636362,0.11933701150125045,12.865393708296853,5.7959545119742355,28.963061182253735,9.801235239887799
2007/2008,27,75.03703703703704,7.4186951033882655,0.6821548821548822,0.06744268275807513,255.66666666666666,63.07992488166837,0.19490333504256083,0.03908887619358208,0.44499309011118277,0.11455090985914429,1.3313131313131312,0.07850046194742352,11.355798806229563,4.064500801732779,27.085622808000114,6.8298656146109415
2008/2009,31,73.38709677419355,13.323356482395464,0.6671554252199412,0.12112142256723149,256.80645161290323,100.4418303811842,0.1746574830462052,0.03131547641251066,0.48497853073760083,0.23443243317913093,1.3512544802867381,0.16242808841409032,11.38527191552841,6.074567192637362,26.980628225456833,10.637970572040071
2009/2010,35,77.82857142857142,9.556290549979645,0.7075324675324676,0.08687536863617859,298.74285714285713,95.36812356126462,0.19462535515742393,0.04144165760798391,0.39509177578440097,0.19140676063412002,1.2984992784992782,0.10798841332264793,16.725246356201882,7.303960973704506,31.99276156038671,10.361926686890854
2010/2011,33,80.39393939393939,8.543782073602541,0.7308539944903581,0.07767074612365946,351.8787878787879,115.74777470208595,0.19547239353399043,0.03923562602827094,0.3472972718912914,0.12319781684599408,1.273033363942455,0.0784242307349003,16.298787104784036,7.791277145975519,38.16501477897367,13.301507156204627
2011/2012,37,81.94594594594595,8.416075708448108,0.7449631449631449,0.07650977916771008,346.27027027027026,110.15258322704734,0.20721603059264473,0.03955651466317732,0.3500132249670453,0.12889162379234484,1.261179361179361,0.08553962690807827,16.85326326942433,6.810381867611912,36.48806460934423,11.984600424468754
2012/2013,32,77.6875,8.916955577672995,0.70625,0.08106323252429998,344.34375,121.41865971678058,0.1984441762439856,0.035153228107388294,0.3871445069096443,0.1706982085073044,1.3007575757575758,0.08576173787605652,12.039526733399862,7.32998084876504,37.25384720147071,13.851847476777182
2013/2014,31,74.29032258064517,15.10892351865192,0.6753665689149561,0.13735385016956292,285.6774193548387,134.05804392047853,0.1915898962826616,0.04596193876936953,0.49915195782750377,0.3306723869410954,1.3476783968719455,0.20120836899833228,12.39690185096295,6.2981929899499685,30.024182797793284,14.124931340593205
2014/2015,38,83.76315789473684,5.293719943410335,0.7614832535885167,0.04812472675827576,366.63157894736844,82.15621937031504,0.16793765419681994,0.033921445077097906,0.318222766950527,0.06255341203780508,1.2384901648059543,0.04651612566459122,17.125761139561785,6.599408698746753,37.89212068277699,8.818841391166098
2015/2016,38,75.05263157894737,15.864199656001002,0.6822966507177033,0.1442199968727364,298.55263157894734,119.91792178761521,0.16246610272446138,0.04159988984029508,0.4400190635511592,0.3156877715998096,1.3329460013670538,0.1784158474874789,16.092024481036205,7.6578903662728735,30.91658138501366,12.24686380941879
2016/2017,34,77.67647058823529,12.328141220543111,0.7061497326203208,0.11207401109584647,300.8529411764706,109.86855296435502,0.159590418389131,0.039217267184237986,0.42352728693501235,0.29045694730760996,1.309863339275104,0.17360617814375262,19.19552183897724,7.731594535135714,31.153857438266392,11.60231446566363
2017/2018,36,80.25,12.75119042061788,0.7295454545454546,0.11591991291470799,319.44444444444446,101.64910074634051,0.1722637247617612,0.027634174292367926,0.4047808232976689,0.3401284072920696,1.2933892496392494,0.2307744827100527,19.539737000292984,7.8639057589065136,32.542592740031175,10.4114540051842
2018/2019,34,79.76470588235294,10.519992002328483,0.7251336898395722,0.09563629093025895,323.1470588235294,104.39149284767475,0.17716865386378858,0.03669546314692519,0.36883353572093736,0.13984825475004248,1.2744726678550204,0.08705996941694062,19.10359107105236,7.707574641866786,33.40312205858563,11.14539042854242
2019/2020,33,83.48484848484848,8.074346769713062,0.7589531680440772,0.07340315245193693,354.6969696969697,110.33230625265794,0.18336326655767154,0.04252043541815674,0.3299294723172821,0.114874988053418,1.2421487603305785,0.07457933618251429,23.540345781577656,10.406918728539114,36.141251921862164,11.26939897825147
2020/2021,35,81.68571428571428,11.364991210295061,0.7425974025974026,0.1033181019117733,338.1142857142857,120.17922190691392,0.16956693599884498,0.037169806668290624,0.36806765078140363,0.16300829189068447,1.2606926406926406,0.10734009414317588,17.878533269226768,7.592641583635371,35.24082921620156,12.960640403411364
